cycle	bp	stage	scenario	genetic_mode	N	K_t	climate_K_factor	human_K_factor	q_hunting	N_female	N_male	N_juvenile	N_age0	N_age1	births_total	births_own_OMU	births_other_OMU	births_AMU	adult_females	adult_males	breeding_females	candidate_fathers	OMU_count	AMU_males	AMU_count_proxy	AMU_males_per_OMU	dominant_males	no_breeder_years	quasi_extinct	functional_extinct	demographic_extinct	mean_age	density_factor
50	100	pre_breeding	M2	selected	105	100.0	1.0	1.0	0.0	50	55	60	19	10	0	0	0	0	25	17	2	17	6	17	2	2.83333	6	0	0	0	0	5.10476	0.998499
50	100	post_mortality	M2	selected	100	100.0	1.0	1.0	0.0	48	52	56	17	9	0	0	0	0	24	17	2	17	6	17	2	2.83333	6	0	0	0	0	5.25	0.998499
51	99	post_mortality	M2	selected	95	100.0	1.0	1.0	0.0	46	49	50	11	12	15	9	1	5	23	17	4	17	5	22	3	4.4	4	0	0	0	0	5.56842	0.91396
52	98	post_mortality	M2	selected	100	100.0	1.0	1.0	0.0	50	50	49	15	8	20	17	1	2	27	15	0	15	5	23	3	4.6	4	1	0	0	0	5.49	0.914738
53	97	post_mortality	M2	selected	100	100.0	1.0	1.0	0.0	52	48	50	12	14	14	9	1	4	24	17	1	17	6	23	3	3.83333	5	0	0	0	0	5.59	0.923887
54	96	post_mortality	M2	selected	99	100.0	1.0	1.0	0.0	47	52	49	14	8	16	11	2	3	25	19	4	19	6	26	3	4.33333	6	0	0	0	0	5.67677	0.908841
55	95	post_mortality	M2	selected	96	100.0	1.0	1.0	0.0	48	48	46	10	12	13	9	3	1	24	18	2	18	6	22	3	3.66667	5	0	0	0	0	5.79167	0.938254
56	94	post_mortality	M2	selected	96	100.0	1.0	1.0	0.0	47	49	50	12	10	18	9	2	7	22	18	0	18	6	22	3	3.66667	5	1	0	0	0	5.73958	0.920726
57	93	post_mortality	M2	selected	104	100.0	1.0	1.0	0.0	48	56	52	14	12	16	7	0	9	24	21	0	21	6	24	3	4.0	6	2	0	0	0	5.72115	0.940838
58	92	post_mortality	M2	selected	98	100.0	1.0	1.0	0.0	42	56	51	15	11	17	10	6	1	20	20	2	20	6	28	3	4.66667	3	0	0	0	0	5.61224	0.872344
59	91	post_mortality	M2	selected	98	100.0	1.0	1.0	0.0	41	57	53	10	14	13	6	1	6	19	18	1	18	6	27	3	4.5	3	0	0	0	0	5.17347	0.954333
60	90	post_mortality	M2	selected	93	100.0	1.0	1.0	0.0	40	53	54	12	10	13	6	2	5	17	14	0	14	6	22	3	3.66667	5	1	0	0	0	4.94624	0.94551
61	89	post_mortality	M2	selected	98	100.0	1.0	1.0	0.0	41	57	55	11	12	11	3	2	6	18	19	0	19	6	25	3	4.16667	6	2	0	0	0	5.22449	1.0
62	88	post_mortality	M2	selected	96	100.0	1.0	1.0	0.0	42	54	50	9	9	12	8	0	4	18	18	1	18	5	28	3	5.6	4	0	0	0	0	5.40625	0.953027
63	87	post_mortality	M2	selected	91	100.0	1.0	1.0	0.0	41	50	42	10	7	16	13	1	2	23	17	2	17	5	25	3	5.0	5	0	0	0	0	5.65934	0.936499
64	86	post_mortality	M2	selected	102	100.0	1.0	1.0	0.0	46	56	48	16	9	16	10	3	3	24	21	1	21	5	29	3	5.8	5	0	0	0	0	5.59804	0.979384
65	85	post_mortality	M2	selected	106	100.0	1.0	1.0	0.0	53	53	47	10	14	12	9	1	2	27	22	2	22	5	31	4	6.2	4	0	0	0	0	5.83019	0.922331
66	84	post_mortality	M2	selected	100	100.0	1.0	1.0	0.0	50	50	48	16	8	22	15	1	6	24	22	2	22	5	25	3	5.0	5	0	0	0	0	5.72	0.822393
67	83	post_mortality	M2	selected	101	100.0	1.0	1.0	0.0	50	51	52	13	15	15	8	5	2	23	22	1	22	5	26	3	5.2	3	0	0	0	0	5.72277	0.913605
68	82	post_mortality	M2	selected	99	100.0	1.0	1.0	0.0	48	51	51	12	11	14	8	6	0	23	20	1	20	5	26	3	5.2	4	0	0	0	0	5.85859	0.914752
69	81	post_mortality	M2	selected	91	100.0	1.0	1.0	0.0	48	43	47	13	9	16	10	2	4	24	13	3	13	5	18	2	3.6	3	0	0	0	0	5.42857	0.915465
70	80	post_mortality	M2	selected	100	100.0	1.0	1.0	0.0	54	46	53	15	12	19	12	3	4	26	16	1	16	5	20	2	4.0	5	0	0	0	0	5.36	0.955804
71	79	post_mortality	M2	selected	104	100.0	1.0	1.0	0.0	55	49	56	15	12	17	10	3	4	26	18	2	18	5	22	3	4.4	5	0	0	0	0	5.55769	0.897953
72	78	post_mortality	M2	selected	107	100.0	1.0	1.0	0.0	57	50	56	17	11	18	13	2	3	28	15	2	15	5	25	3	5.0	3	0	0	0	0	5.42056	0.861813
73	77	post_mortality	M2	selected	96	100.0	1.0	1.0	0.0	47	49	51	10	13	15	12	1	2	22	16	2	16	5	24	3	4.8	4	0	0	0	0	5.67708	0.861178
74	76	post_mortality	M2	selected	101	100.0	1.0	1.0	0.0	54	47	54	17	10	19	12	1	6	23	16	0	16	5	21	3	4.2	5	1	0	0	0	5.45545	0.914992
